0.000 pkt: 0     | recieved
0.000 ACK: 0     | sent
0.000 pkt: 1     | recieved
0.000 ACK: 1     | sent
0.000 pkt: 2     | recieved
0.000 ACK: 2     | sent
0.000 pkt: 3     | recieved
0.000 ACK: 3     | sent
0.000 pkt: 4     | recieved
0.000 ACK: 4     | sent
0.000 pkt: 5     | recieved
0.000 ACK: 5     | sent
0.000 pkt: 6     | recieved
0.000 ACK: 6     | sent
0.000 pkt: 7     | recieved
0.000 ACK: 7     | sent
0.001 pkt: 8     | recieved
0.001 ACK: 8     | sent
0.002 pkt: 9     | recieved
0.002 ACK: 9     | sent
0.002 pkt: 10    | recieved
0.002 ACK: 10    | sent
0.002 pkt: 11    | recieved
0.002 ACK: 11    | sent
0.002 pkt: 12    | recieved
0.002 ACK: 12    | sent
0.002 pkt: 13    | recieved
0.002 ACK: 13    | sent
0.002 pkt: 14    | recieved
0.002 ACK: 14    | sent
0.002 pkt: 15    | recieved
0.002 ACK: 15    | sent
0.002 pkt: 16    | recieved
0.002 ACK: 16    | sent
0.002 pkt: 17    | recieved
0.002 ACK: 17    | sent
0.002 pkt: 18    | recieved
0.002 ACK: 18    | sent
0.002 pkt: 19    | recieved
0.002 ACK: 19    | sent
0.002 pkt: 20    | recieved
0.002 ACK: 20    | sent
0.002 pkt: 21    | recieved
0.002 ACK: 21    | sent
0.002 pkt: 22    | recieved
0.002 ACK: 22    | sent
0.002 pkt: 23    | recieved
0.002 ACK: 23    | sent
0.002 pkt: 24    | recieved
0.002 ACK: 24    | sent
0.002 pkt: 25    | recieved
0.002 ACK: 25    | sent
0.002 pkt: 26    | recieved
0.002 ACK: 26    | sent
0.002 pkt: 27    | recieved
0.002 ACK: 27    | sent
0.002 pkt: 28    | recieved
0.002 ACK: 28    | sent
0.002 pkt: 29    | recieved
0.002 ACK: 29    | sent
0.002 pkt: 30    | recieved
0.002 ACK: 30    | sent
0.002 pkt: 31    | recieved
0.002 ACK: 31    | sent
0.003 pkt: 32    | recieved
0.003 ACK: 32    | sent
0.003 pkt: 33    | recieved
0.003 ACK: 33    | sent
0.003 pkt: 34    | recieved
0.003 ACK: 34    | sent
0.003 pkt: 35    | recieved
0.003 ACK: 35    | sent
0.003 pkt: 36    | recieved
0.003 ACK: 36    | sent
0.003 pkt: 37    | recieved
0.003 ACK: 37    | sent
0.003 pkt: 38    | recieved
0.003 ACK: 38    | sent
0.003 pkt: 39    | recieved
0.003 ACK: 39    | sent
0.003 pkt: 40    | recieved
0.003 ACK: 40    | sent
0.003 pkt: 41    | recieved
0.003 ACK: 41    | sent
0.003 pkt: 42    | recieved
0.003 ACK: 42    | sent
0.003 pkt: 43    | recieved
0.003 ACK: 43    | sent
0.003 pkt: 44    | recieved
0.003 ACK: 44    | sent
0.003 pkt: 45    | recieved
0.003 ACK: 45    | sent
0.003 pkt: 46    | recieved
0.003 ACK: 46    | sent
0.003 pkt: 47    | recieved
0.003 ACK: 47    | sent
0.003 pkt: 48    | recieved
0.003 ACK: 48    | sent
0.003 pkt: 49    | recieved
0.003 ACK: 49    | sent
0.003 pkt: 50    | recieved
0.003 ACK: 50    | sent
0.003 pkt: 51    | recieved
0.003 ACK: 51    | sent
0.003 pkt: 52    | recieved
0.003 ACK: 52    | sent
0.003 pkt: 53    | recieved
0.003 ACK: 53    | sent
0.003 pkt: 54    | recieved
0.003 ACK: 54    | sent
0.004 pkt: 55    | recieved
0.004 ACK: 55    | sent
0.004 pkt: 56    | recieved
0.004 ACK: 56    | sent
0.004 pkt: 57    | recieved
0.004 ACK: 57    | sent
0.004 pkt: 58    | recieved
0.004 ACK: 58    | sent
0.004 pkt: 59    | recieved
0.004 ACK: 59    | sent
0.004 pkt: 60    | recieved
0.004 ACK: 60    | sent
0.004 pkt: 61    | recieved
0.004 ACK: 61    | sent
0.004 pkt: 62    | recieved
0.004 ACK: 62    | sent
0.004 pkt: 63    | recieved
0.004 ACK: 63    | sent
0.004 pkt: 64    | recieved
0.004 ACK: 64    | sent
0.004 pkt: 65    | recieved
0.004 ACK: 65    | sent
0.004 pkt: 66    | recieved
0.004 ACK: 66    | sent
0.004 pkt: 67    | recieved
0.004 ACK: 67    | sent
0.004 pkt: 68    | recieved
0.004 ACK: 68    | sent
0.004 pkt: 69    | recieved
0.004 ACK: 69    | sent
0.004 pkt: 70    | recieved
0.004 ACK: 70    | sent
0.004 pkt: 71    | recieved
0.004 ACK: 71    | sent
0.004 pkt: 72    | recieved
0.004 ACK: 72    | sent
0.004 pkt: 73    | recieved
0.004 ACK: 73    | sent
0.004 pkt: 74    | recieved
0.004 ACK: 74    | sent
0.004 pkt: 75    | recieved
0.004 ACK: 75    | sent
0.004 pkt: 76    | recieved
0.004 ACK: 76    | sent
0.004 pkt: 77    | recieved
0.004 ACK: 77    | sent
0.004 pkt: 78    | recieved
0.004 ACK: 78    | sent
0.004 pkt: 79    | recieved
0.004 ACK: 79    | sent
0.004 pkt: 80    | recieved
0.004 ACK: 80    | sent
0.004 pkt: 81    | recieved
0.004 ACK: 81    | sent
0.004 pkt: 82    | recieved
0.004 ACK: 82    | sent
0.004 pkt: 83    | recieved
0.004 ACK: 83    | sent
0.004 pkt: 84    | recieved
0.004 ACK: 84    | sent
0.004 pkt: 85    | recieved
0.004 ACK: 85    | sent
0.004 pkt: 86    | recieved
0.004 ACK: 86    | sent
0.004 pkt: 87    | recieved
0.004 ACK: 87    | sent
0.004 pkt: 88    | recieved
0.004 ACK: 88    | sent
0.004 pkt: 89    | recieved
0.004 ACK: 89    | sent
0.004 pkt: 90    | recieved
0.005 ACK: 90    | sent
0.005 pkt: 91    | recieved
0.005 ACK: 91    | sent
0.005 pkt: 92    | recieved
0.005 ACK: 92    | sent
0.005 pkt: 93    | recieved
0.005 ACK: 93    | sent
0.005 pkt: 94    | recieved
0.005 ACK: 94    | sent
0.005 pkt: 95    | recieved
0.005 ACK: 95    | sent
0.005 pkt: 96    | recieved
0.005 ACK: 96    | sent
0.005 pkt: 97    | recieved
0.005 ACK: 97    | sent
0.005 pkt: 98    | recieved
0.005 ACK: 98    | sent
0.005 pkt: 99    | recieved
0.005 ACK: 99    | sent
0.005 pkt: 100   | recieved
0.005 ACK: 100   | sent
0.005 pkt: 101   | recieved
0.005 ACK: 101   | sent
0.005 pkt: 102   | recieved
0.005 ACK: 102   | sent
0.005 pkt: 103   | recieved
0.005 ACK: 103   | sent
0.005 pkt: 104   | recieved
0.005 ACK: 104   | sent
0.005 pkt: 105   | recieved
0.005 ACK: 105   | sent
0.005 pkt: 106   | recieved
0.005 ACK: 106   | sent
0.008 pkt: 107   | recieved
0.008 ACK: 107   | sent
0.008 pkt: 108   | recieved
0.008 ACK: 108   | sent
0.008 pkt: 109   | recieved
0.008 ACK: 109   | sent
0.008 pkt: 110   | recieved
0.008 ACK: 110   | sent
0.008 pkt: 111   | recieved
0.008 ACK: 111   | sent
0.008 pkt: 112   | recieved
0.008 ACK: 112   | sent
0.008 pkt: 113   | recieved
0.008 ACK: 113   | sent
0.008 pkt: 114   | recieved
0.008 ACK: 114   | sent
0.008 pkt: 115   | recieved
0.009 ACK: 115   | sent
0.009 pkt: 116   | recieved
0.009 ACK: 116   | sent
0.009 pkt: 117   | recieved
0.009 ACK: 117   | sent
0.009 pkt: 118   | recieved
0.009 ACK: 118   | sent
0.009 pkt: 119   | recieved
0.009 ACK: 119   | sent
0.009 pkt: 120   | recieved
0.009 ACK: 120   | sent
0.009 pkt: 121   | recieved
0.009 ACK: 121   | sent
0.009 pkt: 122   | recieved
0.009 ACK: 122   | sent
0.009 pkt: 123   | recieved
0.009 ACK: 123   | sent
0.009 pkt: 124   | recieved
0.009 ACK: 124   | sent
0.009 pkt: 125   | recieved
0.009 ACK: 125   | sent
0.009 pkt: 126   | recieved
0.009 ACK: 126   | sent
0.009 pkt: 127   | recieved
0.009 ACK: 127   | sent
0.009 pkt: 128   | recieved
0.009 ACK: 128   | sent
0.009 pkt: 129   | recieved
0.009 ACK: 129   | sent
0.009 pkt: 130   | recieved
0.009 ACK: 130   | sent
0.009 pkt: 131   | recieved
0.009 ACK: 131   | sent
0.009 pkt: 132   | recieved
0.009 ACK: 132   | sent
0.009 pkt: 133   | recieved
0.009 ACK: 133   | sent
0.009 pkt: 134   | recieved
0.010 ACK: 134   | sent
0.010 pkt: 135   | recieved
0.010 ACK: 135   | sent
0.010 pkt: 136   | recieved
0.010 ACK: 136   | sent
0.010 pkt: 137   | recieved
0.010 ACK: 137   | sent
0.010 pkt: 138   | recieved
0.010 ACK: 138   | sent
0.010 pkt: 139   | recieved
0.010 ACK: 139   | sent
0.010 pkt: 140   | recieved
0.010 ACK: 140   | sent
0.010 pkt: 141   | recieved
0.010 ACK: 141   | sent
0.010 pkt: 142   | recieved
0.010 ACK: 142   | sent
0.010 pkt: 143   | recieved
0.010 ACK: 143   | sent
0.010 pkt: 144   | recieved
0.010 ACK: 144   | sent
0.010 pkt: 145   | recieved
0.010 ACK: 145   | sent
0.010 pkt: 146   | recieved
0.010 ACK: 146   | sent
0.010 pkt: 147   | recieved
0.010 ACK: 147   | sent
0.010 pkt: 148   | recieved
0.010 ACK: 148   | sent
0.010 pkt: 149   | recieved
0.010 ACK: 149   | sent
0.010 pkt: 150   | recieved
0.010 ACK: 150   | sent
0.011 pkt: 151   | recieved
0.011 ACK: 151   | sent
0.011 pkt: 152   | recieved
0.011 ACK: 152   | sent
0.011 pkt: 153   | recieved
0.011 ACK: 153   | sent
0.011 pkt: 154   | recieved
0.011 ACK: 154   | sent
0.011 pkt: 155   | recieved
0.011 ACK: 155   | sent
0.011 pkt: 156   | recieved
0.011 ACK: 156   | sent
0.011 pkt: 157   | recieved
0.011 ACK: 157   | sent
0.011 pkt: 158   | recieved
0.011 ACK: 158   | sent
0.011 pkt: 159   | recieved
0.011 ACK: 159   | sent
0.011 pkt: 160   | recieved
0.011 ACK: 160   | sent
0.011 pkt: 161   | recieved
0.011 ACK: 161   | sent
0.011 pkt: 162   | recieved
0.011 ACK: 162   | sent
0.011 pkt: 163   | recieved
0.011 ACK: 163   | sent
0.011 pkt: 164   | recieved
0.011 ACK: 164   | sent
0.011 pkt: 165   | recieved
0.011 ACK: 165   | sent
0.011 pkt: 166   | recieved
0.011 ACK: 166   | sent
0.011 pkt: 167   | recieved
0.011 ACK: 167   | sent
0.011 pkt: 168   | recieved
0.011 ACK: 168   | sent
0.012 pkt: 169   | recieved
0.012 ACK: 169   | sent
0.012 pkt: 170   | recieved
0.012 ACK: 170   | sent
0.012 pkt: 171   | recieved
0.012 ACK: 171   | sent
0.012 pkt: 172   | recieved
0.012 ACK: 172   | sent
0.012 pkt: 173   | recieved
0.012 ACK: 173   | sent
0.012 pkt: 174   | recieved
0.012 ACK: 174   | sent
0.012 pkt: 175   | recieved
0.012 ACK: 175   | sent
0.012 pkt: 176   | recieved
0.012 ACK: 176   | sent
0.012 pkt: 177   | recieved
0.012 ACK: 177   | sent
0.012 pkt: 178   | recieved
0.012 ACK: 178   | sent
0.012 pkt: 179   | recieved
0.012 ACK: 179   | sent
0.012 pkt: 180   | recieved
0.012 ACK: 180   | sent
0.012 pkt: 181   | recieved
0.012 ACK: 181   | sent
0.012 pkt: 182   | recieved
0.012 ACK: 182   | sent
0.012 pkt: 183   | recieved
0.012 ACK: 183   | sent
0.012 pkt: 184   | recieved
0.012 ACK: 184   | sent
0.012 pkt: 185   | recieved
0.012 ACK: 185   | sent
0.012 pkt: 186   | recieved
0.012 ACK: 186   | sent
0.012 pkt: 187   | recieved
0.012 ACK: 187   | sent
0.012 pkt: 188   | recieved
0.012 ACK: 188   | sent
0.012 pkt: 189   | recieved
0.012 ACK: 189   | sent
0.013 pkt: 190   | recieved
0.013 ACK: 190   | sent
0.013 pkt: 191   | recieved
0.013 ACK: 191   | sent
0.013 pkt: 192   | recieved
0.013 ACK: 192   | sent
0.013 pkt: 193   | recieved
0.013 ACK: 193   | sent
0.013 pkt: 194   | recieved
0.013 ACK: 194   | sent
0.013 pkt: 195   | recieved
0.013 ACK: 195   | sent
0.013 pkt: 196   | recieved
0.013 ACK: 196   | sent
0.013 pkt: 197   | recieved
0.013 ACK: 197   | sent
0.013 pkt: 198   | recieved
0.013 ACK: 198   | sent
0.013 pkt: 199   | recieved
0.013 ACK: 199   | sent
0.013 pkt: 200   | recieved
0.013 ACK: 200   | sent
0.013 pkt: 201   | recieved
0.013 ACK: 201   | sent
0.013 pkt: 202   | recieved
0.013 ACK: 202   | sent
0.013 pkt: 203   | recieved
0.013 ACK: 203   | sent
0.013 pkt: 204   | recieved
0.013 ACK: 204   | sent
0.013 pkt: 205   | recieved
0.013 ACK: 205   | sent
0.013 pkt: 206   | recieved
0.013 ACK: 206   | sent
0.013 pkt: 207   | recieved
0.013 ACK: 207   | sent
0.013 pkt: 208   | recieved
0.013 ACK: 208   | sent
0.013 pkt: 209   | recieved
0.013 ACK: 209   | sent
0.013 pkt: 210   | recieved
0.014 ACK: 210   | sent
