0.000 pkt: 0     | sent
0.000 pkt: 1     | sent
0.000 pkt: 2     | sent
0.000 pkt: 3     | sent
0.000 pkt: 4     | sent
0.000 pkt: 5     | sent
0.000 ACK: 0     | recieved
0.000 pkt: 6     | sent
0.001 ACK: 1     | recieved
0.001 pkt: 7     | sent
0.001 ACK: 2     | recieved
0.001 pkt: 8     | sent
0.001 ACK: 3     | recieved
0.001 pkt: 9     | sent
0.001 ACK: 4     | recieved
0.001 pkt: 10    | sent
0.001 ACK: 5     | recieved
0.001 ACK: 6     | recieved
0.001 pkt: 11    | sent
0.001 ACK: 7     | recieved
0.001 pkt: 12    | sent
0.001 ACK: 8     | recieved
0.001 pkt: 13    | sent
0.001 pkt: 14    | sent
0.001 ACK: 9     | recieved
0.001 pkt: 15    | sent
0.001 ACK: 10    | recieved
0.001 pkt: 16    | sent
0.001 ACK: 11    | recieved
0.001 pkt: 17    | sent
0.001 pkt: 18    | sent
0.001 pkt: 19    | sent
0.002 pkt: 20    | sent
0.002 ACK: 11    | recieved
0.002 pkt: 21    | sent
0.002 ACK: 11    | recieved
0.002 pkt: 22    | sent
0.002 pkt: 23    | sent
0.002 ACK: 11    | recieved
0.001 pkt: 12    | 3 duplicated ACKs
0.002 ACK: 11    | recieved
0.002 pkt: 24    | sent
0.033 ACK: 11    | recieved
0.073 ACK: 11    | recieved
0.097 ACK: 11    | recieved
0.134 ACK: 11    | recieved
0.152 ACK: 11    | recieved
0.159 ACK: 11    | recieved
0.159 ACK: 11    | recieved
0.165 ACK: 11    | recieved
0.165 ACK: 24    | recieved
0.165 pkt: 25    | sent
0.165 pkt: 26    | sent
0.165 pkt: 27    | sent
0.165 ACK: 25    | recieved
0.165 pkt: 28    | sent
0.165 ACK: 26    | recieved
0.165 pkt: 29    | sent
0.165 pkt: 30    | sent
0.165 ACK: 27    | recieved
0.165 pkt: 31    | sent
0.166 pkt: 32    | sent
0.166 ACK: 28    | recieved
0.166 ACK: 29    | recieved
0.166 pkt: 33    | sent
0.166 ACK: 30    | recieved
0.166 pkt: 34    | sent
0.166 ACK: 31    | recieved
0.166 ACK: 32    | recieved
0.166 pkt: 35    | sent
0.166 ACK: 33    | recieved
0.166 pkt: 36    | sent
0.166 ACK: 34    | recieved
0.166 pkt: 37    | sent
0.166 pkt: 38    | sent
0.166 ACK: 35    | recieved
0.166 pkt: 39    | sent
0.166 ACK: 36    | recieved
0.166 pkt: 40    | sent
0.166 pkt: 41    | sent
0.167 ACK: 37    | recieved
0.167 pkt: 42    | sent
0.167 ACK: 38    | recieved
0.167 pkt: 43    | sent
0.167 ACK: 39    | recieved
0.167 pkt: 44    | sent
0.167 pkt: 45    | sent
0.167 ACK: 40    | recieved
0.167 pkt: 46    | sent
0.167 ACK: 41    | recieved
0.167 pkt: 47    | sent
0.167 ACK: 42    | recieved
0.167 pkt: 48    | sent
0.167 ACK: 43    | recieved
0.167 pkt: 49    | sent
0.167 pkt: 50    | sent
0.167 pkt: 51    | sent
0.167 ACK: 44    | recieved
0.167 pkt: 52    | sent
0.167 pkt: 53    | sent
0.167 ACK: 45    | recieved
0.167 pkt: 54    | sent
0.167 pkt: 55    | sent
0.167 ACK: 46    | recieved
0.167 pkt: 56    | sent
0.168 pkt: 57    | sent
0.168 ACK: 47    | recieved
0.168 pkt: 58    | sent
0.168 ACK: 48    | recieved
0.168 pkt: 59    | sent
0.168 ACK: 49    | recieved
0.168 pkt: 60    | sent
0.168 pkt: 61    | sent
0.168 ACK: 50    | recieved
0.168 pkt: 62    | sent
0.168 pkt: 63    | sent
0.168 ACK: 51    | recieved
0.168 pkt: 64    | sent
0.168 ACK: 52    | recieved
0.168 pkt: 65    | sent
0.168 ACK: 53    | recieved
0.168 pkt: 66    | sent
0.168 ACK: 54    | recieved
0.168 ACK: 55    | recieved
0.168 pkt: 67    | sent
0.168 pkt: 68    | sent
0.168 ACK: 56    | recieved
0.168 pkt: 69    | sent
0.168 pkt: 70    | sent
0.168 pkt: 71    | sent
0.168 pkt: 72    | sent
0.169 ACK: 57    | recieved
0.169 pkt: 73    | sent
0.169 ACK: 58    | recieved
0.169 pkt: 74    | sent
0.169 ACK: 59    | recieved
0.169 pkt: 75    | sent
0.169 ACK: 60    | recieved
0.169 pkt: 76    | sent
0.169 pkt: 77    | sent
0.169 pkt: 78    | sent
0.169 ACK: 61    | recieved
0.169 pkt: 79    | sent
0.169 ACK: 62    | recieved
0.169 pkt: 80    | sent
0.169 ACK: 63    | recieved
0.169 pkt: 81    | sent
0.169 pkt: 82    | sent
0.169 ACK: 64    | recieved
0.169 ACK: 65    | recieved
0.169 pkt: 83    | sent
0.169 ACK: 66    | recieved
0.170 ACK: 67    | recieved
0.170 pkt: 84    | sent
0.170 ACK: 68    | recieved
0.170 pkt: 85    | sent
0.170 pkt: 86    | sent
0.170 pkt: 87    | sent
0.170 ACK: 69    | recieved
0.170 pkt: 88    | sent
0.170 pkt: 89    | sent
0.170 ACK: 70    | recieved
0.170 pkt: 90    | sent
0.170 ACK: 71    | recieved
0.170 pkt: 91    | sent
0.170 ACK: 72    | recieved
0.170 pkt: 92    | sent
0.170 ACK: 73    | recieved
0.170 pkt: 93    | sent
0.170 ACK: 74    | recieved
0.170 pkt: 94    | sent
0.170 ACK: 75    | recieved
0.170 pkt: 95    | sent
0.170 pkt: 96    | sent
0.170 ACK: 76    | recieved
0.170 pkt: 97    | sent
0.171 pkt: 98    | sent
0.171 ACK: 77    | recieved
0.171 pkt: 99    | sent
0.171 ACK: 78    | recieved
0.171 pkt: 100   | sent
0.171 ACK: 79    | recieved
0.171 pkt: 101   | sent
0.171 ACK: 80    | recieved
0.171 ACK: 81    | recieved
0.171 pkt: 102   | sent
0.171 ACK: 82    | recieved
0.171 pkt: 103   | sent
0.171 ACK: 83    | recieved
0.171 pkt: 104   | sent
0.171 pkt: 105   | sent
0.171 pkt: 106   | sent
0.171 ACK: 84    | recieved
0.171 pkt: 107   | sent
0.171 ACK: 85    | recieved
0.171 pkt: 108   | sent
0.171 pkt: 109   | sent
0.171 ACK: 86    | recieved
0.171 ACK: 87    | recieved
0.172 pkt: 110   | sent
0.172 ACK: 88    | recieved
0.172 pkt: 111   | sent
0.172 pkt: 112   | sent
0.172 ACK: 88    | recieved
0.172 pkt: 113   | sent
0.172 ACK: 88    | recieved
0.172 pkt: 114   | sent
0.172 ACK: 88    | recieved
0.170 pkt: 89    | 3 duplicated ACKs
0.172 pkt: 115   | sent
0.183 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.189 ACK: 88    | recieved
0.196 ACK: 88    | recieved
0.196 ACK: 88    | recieved
0.196 ACK: 88    | recieved
0.201 ACK: 88    | recieved
0.207 ACK: 88    | recieved
0.213 ACK: 88    | recieved
0.219 ACK: 88    | recieved
0.219 ACK: 88    | recieved
0.225 ACK: 88    | recieved
0.225 ACK: 88    | recieved
0.236 ACK: 88    | recieved
0.242 ACK: 88    | recieved
0.242 ACK: 88    | recieved
0.242 ACK: 88    | recieved
0.248 ACK: 88    | recieved
0.254 ACK: 88    | recieved
0.267 ACK: 88    | recieved
0.267 ACK: 88    | recieved
0.273 ACK: 115   | recieved
0.273 pkt: 116   | sent
0.273 ACK: 116   | recieved
0.273 pkt: 117   | sent
0.273 pkt: 118   | sent
0.274 pkt: 119   | sent
0.274 ACK: 117   | recieved
0.274 pkt: 120   | sent
0.274 ACK: 118   | recieved
0.274 pkt: 121   | sent
0.274 ACK: 119   | recieved
0.274 pkt: 122   | sent
0.274 ACK: 120   | recieved
0.274 pkt: 123   | sent
0.274 ACK: 121   | recieved
0.274 pkt: 124   | sent
0.274 ACK: 122   | recieved
0.274 pkt: 125   | sent
0.274 pkt: 126   | sent
0.274 ACK: 123   | recieved
0.274 ACK: 124   | recieved
0.274 pkt: 127   | sent
0.274 pkt: 128   | sent
0.274 ACK: 125   | recieved
0.274 pkt: 129   | sent
0.274 ACK: 126   | recieved
0.274 pkt: 130   | sent
0.274 ACK: 127   | recieved
0.274 pkt: 131   | sent
0.275 pkt: 132   | sent
0.275 ACK: 128   | recieved
0.275 ACK: 129   | recieved
0.275 pkt: 133   | sent
0.275 ACK: 130   | recieved
0.275 pkt: 134   | sent
0.275 pkt: 135   | sent
0.275 ACK: 131   | recieved
0.275 pkt: 136   | sent
0.275 ACK: 132   | recieved
0.275 pkt: 137   | sent
0.275 ACK: 133   | recieved
0.275 ACK: 134   | recieved
0.275 pkt: 138   | sent
0.275 pkt: 139   | sent
0.275 pkt: 140   | sent
0.275 ACK: 135   | recieved
0.275 pkt: 141   | sent
0.275 ACK: 136   | recieved
0.275 ACK: 137   | recieved
0.275 pkt: 142   | sent
0.275 pkt: 143   | sent
0.276 pkt: 144   | sent
0.276 ACK: 138   | recieved
0.276 pkt: 145   | sent
0.276 ACK: 139   | recieved
0.276 pkt: 146   | sent
0.276 ACK: 140   | recieved
0.276 ACK: 141   | recieved
0.276 pkt: 147   | sent
0.276 ACK: 142   | recieved
0.276 pkt: 148   | sent
0.276 ACK: 143   | recieved
0.276 pkt: 149   | sent
0.276 pkt: 150   | sent
0.276 ACK: 144   | recieved
0.276 pkt: 151   | sent
0.276 ACK: 145   | recieved
0.276 pkt: 152   | sent
0.276 ACK: 146   | recieved
0.276 pkt: 153   | sent
0.276 pkt: 154   | sent
0.276 ACK: 147   | recieved
0.277 pkt: 155   | sent
0.277 ACK: 148   | recieved
0.277 pkt: 156   | sent
0.277 pkt: 157   | sent
